Indicator,Category,Tool Name,Metric,Source
Poverty Rate,Socioeconomic,US EPA EJScreen,The # or % of a block group’s population in households where the household income is less than or equal to twice the federal “poverty level”,ACS
Income,Socioeconomic,US EPA EJScreen,,
Income,Socioeconomic,US EPA EJScreen,,
Education,Socioeconomic,US EPA EJScreen,The # or % of people age 25 or older in a block group whose education is short of a high school diploma,ACS
Minority Population,Race,US EPA EJScreen,The # or % of individuals in a block group who list their racial status as a race other than white alone and/or list their ethnicity as Hispanic or Latino,ACS
Hispanic Population,Race,US EPA EJScreen,,
Tribal Areas,Race,US EPA EJScreen,,
Change in Unemployment,Community Characteristics,US EPA EJScreen,,
Unemployment Rate,Community Characteristics,US EPA EJScreen,,
Housing,Community Characteristics,US EPA EJScreen,,
Youth Population,Community Characteristics,US EPA EJScreen,The # or % of people in a block group under the age of 5,ACS
Elderly Population,Community Characteristics,US EPA EJScreen,The # or % of people in a block group over the age of 64.,ACS
Social Indicators,Community Characteristics,US EPA EJScreen,,
Linguistic Isolation,Community Characteristics,US EPA EJScreen,The # or % of people in a block group living in linguistically isolated households,ACS
Change in Population,Community Characteristics,US EPA EJScreen,,
Transportation Expense,Community Characteristics,US EPA EJScreen,,
Zero Car Household Families,Community Characteristics,US EPA EJScreen,,
Persons with Disabilities,Community Characteristics,US EPA EJScreen,,
Colonias,Community Characteristics,US EPA EJScreen,,
Poverty Rate,Socioeconomic,California EPA EnviroScreen,Percent of the population living below two times the federal poverty level,ACS
Income,Socioeconomic,California EPA EnviroScreen,,
Income,Socioeconomic,California EPA EnviroScreen,,
Education,Socioeconomic,California EPA EnviroScreen,Percent of population over age 25 with less than a high school education,ACS
Minority Population,Race,California EPA EnviroScreen,,
Hispanic Population,Race,California EPA EnviroScreen,,
Tribal Areas,Race,California EPA EnviroScreen,,
Change in Unemployment,Community Characteristics,California EPA EnviroScreen,,
Unemployment Rate,Community Characteristics,California EPA EnviroScreen,Percent of population over age of 16 that is unemployed and ineligible for the workforce,ACS
Housing,Community Characteristics,California EPA EnviroScreen,Percent of households that are both low income and burdened by housing costs,ACS
Youth Population,Community Characteristics,California EPA EnviroScreen,,
